from,sender_tx_count,sender_avg_value_eth,sender_error_rate,sender_avg_gas_eff,sender_unique_to
0x019e6e3c42efbc3c39601ac86de202c0b0d0a9cb,1,0.0,0.0,0.6537276528223275,1
0x01a8c48eb92b22ce0d883fde575adfe2500547e2,2,0.0,0.0,0.733286734255846,2
0x01aa40940bb85fe2b9c03717b21bbfe7ec79beb3,1,2.799671960290489,0.0,1.0,1
0x01ab184ab1183e2250ec59639ac73a2d4f09e8c2,1,0.02,0.0,0.3616066666666667,1
0x01bbb4df2ad4723581e3fc9712a3e32e5dc010f3,2,0.026525,0.0,0.39632666666666666,1
0x01bec767ec9428b34041cca38ed259a20ee5db3e,1,0.0,0.0,0.7202051741843336,1
0x01c3ee3401d21fc6e0d89c7beecba616bb34f5b6,1,0.0,0.0,0.7112311157127251,1
0x01cf71f378fcca80cf6e617a22cd38a8d7de9624,1,0.0,0.0,1.0,1
0x01d0f00b49ffd22decb17543354554fb6dcc95ca,6,0.0,0.0,0.6895037253286213,1
0x01d35e3973970735edaa3a9c964b856e4d76775b,1,0.012341230075084045,0.0,0.6844533031936381,1
0x01d6fe5ba53012cdf10e066d3afc21d557e891d9,1,0.1710787144757789,0.0,0.6181195251123215,1
0x01d83b2adfbc9e350ec16ca830f35ac8d754255f,1,0.0,0.0,0.4589888888888889,1
0x01e0940d7074a5106dfd188b67058d3e3eaf1106,1,1.216303363317514,0.0,0.9036480686695278,1
0x01ea1c0fa1949926e781833cbe7d782772cefc6d,1,0.0,0.0,0.6921387253992614,1
0x01ec2f6fd46570d1ad893335bd6004435c3cf8c4,1,0.026215,0.0,0.39632666666666666,1
0x01ee8a9430bc786eab2c0a29cb18a7b2c8aa89fe,1,0.35567700307168604,0.0,0.37656,1
0x01ef72f8c6c6a027bedc61f2c1d9244c777f3811,2,0.0,0.0,1.0,1
0x01ef91eea4c5328b33b53675f81f7bbfb09c93b2,1,0.0,0.0,0.6666666666666666,1
0x01f3608eb0b4a35ec6472bde807d480e640f664b,1,0.1,0.0,0.37025,1
0x01faa163ff5b442d74c3db2fe5f08a857ab614fe,1,32.0,0.0,0.48558181818181817,1
0x01ff9de0e89302d72c912e0e3aa01238c7038d1e,1,0.0,0.0,0.703787462395999,1
0x02032c604da087e3db65ecdfcf8a45c829f92d59,1,0.0,0.0,0.8819889357794153,1
0x020a0d262dbd485c8d2a007295258c14c7a172bc,1,0.07,0.0,0.8782451051486585,1
0x020e4ccffd0ec28e450a3343ac19246cf2b3784b,1,0.0,1.0,0.13546,1
0x020f5ed24b660368b7cddb3a13c41d7d3b122ebc,1,0.0032019,0.0,1.0,1
0x020f69ac393cbbdbcf726ab59340068dbf54306c,1,0.0,0.0,0.7629296868572181,1
0x021714fa2ff8a3416ddfdd743e5ff35dca30526c,1,0.05,0.0,0.6812899477048228,1
0x021c00fda6535083ffb2a3e5d11d0e9a215b1a3a,1,0.0,0.0,0.8971262214279537,1
0x021e5f9d750780e7f7601c98e6f9f5116b8342bc,1,0.0,0.0,0.7349897988924512,1
0x0221ce8945eb45ad324ff823ffae85e63714f82b,1,0.2122858898715838,0.0,1.0,1
0x022a3c30dc3d202c6175e033e62786c3c23712ad,1,0.0,0.0,1.0,1
0x022c5df246f88ebd603cdfdb4ef06dfe8be00ec5,1,32.0,0.0,0.5940363636363636,1
0x022e0e580b94f98eb640033715f30d39f97884e0,2,0.0,0.0,0.9916545876356562,1
0x02312ec8c6fcdbfc041f1f7d4b4fb00c1c69c2e8,1,0.0,0.0,0.7195032447466008,1
0x023701719721f1dfbbb1a6c9e4ec3c56cf97cab9,1,0.0,0.0,0.812474200459969,1
0x0237054f95979c5b11665b6de62f48e6cf97cab9,1,0.0,0.0,0.9917791120580197,1
0x023819be3eef1c2809ccd540738821aee9f73285,1,32.0,0.0,0.4586363636363636,1
0x0238b9bb23af9221488ac4d8c0bda0e08e9d130d,1,0.0,0.0,0.5603433982424789,1
0x0239b4f21f8e05cd01512b2be7a0e18a6d974607,1,999.92,0.0,0.43224,1
0x023ab8e20a4682d315daef4c91db96bd77934d66,1,0.0,0.0,0.6147973079297447,1
0x023fdead55ff9c7911b55e63fdaa84f16e750688,2,0.0,0.5,0.7754459956218891,1
0x0240792990962918d225f469ea83a99bae9b6e99,1,0.0,0.0,0.7197058095541176,1
0x0244981a1667a4eff08c417e8ba1dbd553775a66,1,6.68e-16,0.0,0.9091130209177882,1
0x0248aabd3a694e0b9b7f2e56b738ce3f4d552cd5,1,32.0,0.0,0.45852727272727273,1
0x02537688f1f6d124967a6749823ba03463f84783,1,50.15267395676677,0.0,0.9036480686695278,1
0x02597db88c5365d7772fbb47ae043a62b64797b4,1,32.0,0.0,0.5128545454545455,1
0x025a2914cc6ce54e6ed69dc433891d9580f5de77,1,0.2987775685579345,0.0,1.0,1
0x0269044b2734a4a56950a9dda9dc909b98aee3cf,1,0.0,0.0,0.7110096387493925,1
0x026be314d2194ff5665cb9cf73ea075bbcf9e2da,1,3.5e-17,0.0,1.0,1
0x026d23a012cf485ab3f6cbb61948b9dbf44a4cbe,1,0.0,0.0,0.7483146149750123,1
0x026ff7f1767ad7b133fe456fd6e4f72e20f49389,1,0.0,0.0,0.5602728362061019,1
0x027090f33876291f05833029611dd9932471afa2,1,0.0,0.0,0.6025095351279642,1
0x02718e563c7fac0e10f79beaf27d6d16ba8ec957,1,0.0,0.0,0.9870541611624835,1
0x027302d0f59be4180cb82e8c7bba54c2f9ca7158,1,0.0,0.0,0.5480420717729185,1
0x02743abc2a1e6136eae7bf8b7f075e0ba579db30,1,32.0,0.0,0.4856909090909091,1
